ID,Number,Name
YLR158C,1176,ASP3-3
YLR160C,575,ASP3-4
YLR163C,554,MAS1
YLR170C,4319,APS1
YLR172C,1097,DPH5
YLR175W,39,CBF5
YLR180W,123,SAM1
YLR191W,1091,PEX13
YLR193C,1205,UPS1
YLR196W,3903,PWP1
YLR200W,1803,YKE2
YLR201C,847,COQ9
YLR205C,2066,HMX1
YLR208W,2936,SEC13
YLR209C,1689,PNP1
YLR210W,363,CLB4
YLR215C,1080,CDC123
YLR222C,3166,UTP13
YLR234W,1964,TOP3
YLR239C,936,LIP2
YLR242C,3524,ARV1
YLR246W,3987,ERF2
YLR247C,1164,IRC20
YLR248W,237,RCK2
YLR250W,1534,SSP120
YLR251W,3981,SYM1
YLR258W,419,GSY2
YLR259C,3211,HSP60
YLR260W,4276,LCB5
YLR264W,3384,RPS28B
YLR268W,1752,SEC22
YLR270W,441,DCS1
YLR272C,3900,YCS4
YLR273C,4564,PIG1
YLR274W,3891,MCM5
YLR275W,4369,SMD2
YLR284C,3933,ECI1
YLR289W,3069,GUF1
YLR291C,1941,GCD7
YLR304C,148,ACO1
YLR316C,4180,TAD3
YLR323C,4188,CWC24
YLR328W,2884,NMA1
YLR337C,2814,VRP1
YLR350W,181,ORM2
YLR354C,4120,TAL1
YLR367W,3342,RPS22B
YLR370C,2988,ARC18
YLR371W,3204,ROM2
YLR372W,3404,ELO3
YLR378C,3157,SEC61
YLR388W,1521,RPS29A
YLR389C,3466,STE23
YLR397C,1078,AFG2
YLR399C,3446,BDF1
YLR401C,3883,DUS3
YLR403W,122,SFP1
YLR405W,3634,DUS4
YLR406C,4428,RPL31B
YLR417W,4019,VPS36
YLR419W,247,NA
YLR427W,3591,MAG2
YLR430W,2879,SEN1
YLR432W,1077,IMD3
YLR435W,267,TSR2
YLR438W,4616,CAR2
YLR447C,1110,VMA6
YLR448W,971,RPL6B
YLR450W,827,HMG2
YLR454W,28,FMP27
YLR460C,4200,NA
YLR462W,1554,NA
YLR466W,730,YRF1-4
YLR467W,643,YRF1-5
YML002W,1507,NA
