Number,Name,ID
4186,IWR1,YDL115C
804,NUP84,YDL116W
626,CYK3,YDL117W
1603,HEM25,YDL119C
4230,YFH1,YDL120W
868,HNT1,YDL125C
4509,PCL2,YDL127W
1806,NA,YDL129W
455,RPP1B,YDL130W
802,STF1,YDL130W-A
1402,LYS21,YDL131W
2829,RPL41B,YDL133C-A
22,SRF1,YDL133W
3016,RDI1,YDL135C
280,RPL35B,YDL136W
3958,RGT2,YDL138W
832,BPL1,YDL141W
901,NA,YDL144C
3081,COP1,YDL145C
444,LDB17,YDL146W
4042,RPN5,YDL147W
4303,NOP14,YDL148C
2979,ATG9,YDL149W
3972,MSH5,YDL154W
1233,CLB3,YDL155W
4140,CMR1,YDL156W
1496,NA,YDL157C
4247,STE7,YDL159W
526,NA,YDL159W-A
2954,DHH1,YDL160C
221,MHF2,YDL160C-A
40,ENT1,YDL161W
1322,CDC9,YDL164C
834,CDC36,YDL165W
4025,FAP7,YDL166C
3905,NRP1,YDL167C
3074,SFA1,YDL168W
4439,UGA3,YDL170W
35,GLT1,YDL171C
3197,PAR32,YDL173W
4003,DLD1,YDL174C
1738,AIR2,YDL175C
3924,NA,YDL176W
1354,PCL9,YDL179W
4612,NA,YDL180W
2818,LYS20,YDL182W
4244,NA,YDL183C
3401,RPL41A,YDL184C
10,VMA1,YDL185W
3964,PPH22,YDL188C
3220,RBS1,YDL189W
475,UFD2,YDL190C
1508,ARF1,YDL192W
3979,SNF3,YDL194W
3223,SEC31,YDL195W
1727,ASF2,YDL197C
1336,GGC1,YDL198C
1242,MRPL11,YDL202W
4128,ACK1,YDL203C
2886,RTN2,YDL204W
545,GLE1,YDL207W
3788,CWC2,YDL209C
3258,UGA4,YDL210W
176,NA,YDL211C
899,SHR3,YDL212W
4337,PRR2,YDL214C
645,GDH2,YDL215C
1463,RRI1,YDL216C
3786,DTD1,YDL219W
2804,FMP45,YDL222C
568,HBT1,YDL223C
1131,WHI4,YDL224C
2991,SHS1,YDL225W
61,GCS1,YDL226C
3490,HO,YDL227C
1453,PTP1,YDL230W
4273,BRE4,YDL231C
120,OST4,YDL232W
3925,MFG1,YDL233W
165,YPD1,YDL235C
1387,PHO13,YDL236W
817,AIM6,YDL237W
3944,ADY3,YDL239C
1881,LRG1,YDL240W
3710,AAD4,YDL243C
4209,THI13,YDL244W
784,HXT15,YDL245C
1595,SOR2,YDL246C
694,MPH2,YDL247W
4223,COS7,YDL248W
4028,NTH1,YDR001C
4496,RAD57,YDR004W
671,MAF1,YDR005C
4835,SOK1,YDR006C
3350,TRP1,YDR007W
4035,GAL3,YDR009W
2970,SNQ2,YDR011W
2986,RPL4B,YDR012W
1423,PSF1,YDR013W
1621,RAD61,YDR014W
1111,DAD1,YDR016C
740,KCS1,YDR017C
703,NA,YDR018C
360,GCV1,YDR019C
4574,DAS2,YDR020C
1481,ATG31,YDR022C
4239,RPS11A,YDR025W
4051,NSI1,YDR026C
201,VPS54,YDR027C
527,REG1,YDR028C
3179,RAD28,YDR030C
167,PST2,YDR032C
182,MRH1,YDR033W
335,NA,YDR034W-B
1631,ARO3,YDR035W
2846,KRS1,YDR037W
4012,ENA5,YDR038C
1364,ENA2,YDR039C
825,ENA1,YDR040C
431,RSM10,YDR041W
1945,NA,YDR042C
1832,HEM13,YDR044W
3068,BAP3,YDR046C
1694,HEM12,YDR047W
1170,TPI1,YDR050C
1712,DET1,YDR051C
3860,DBF4,YDR052C
4250,PST1,YDR055W
3953,YOS9,YDR057W
1152,TGL2,YDR058C
3923,UBC5,YDR059C
3303,MAK21,YDR060W
1244,RRG1,YDR065W
1700,RTR2,YDR066C
952,OCA6,YDR067C
814,DOS2,YDR068W
4183,FMP16,YDR070C
4710,PAA1,YDR071C
3628,SNF11,YDR073W
3048,TPS2,YDR074W
3175,RAD55,YDR076W
932,SED1,YDR077W
923,SHU2,YDR078C
631,TFB5,YDR079C-A
3989,PET100,YDR079W
3344,VPS41,YDR080W
4404,PDC2,YDR081C
3768,STN1,YDR082W
3433,TVP23,YDR084C
4171,AFR1,YDR085C
4518,RRP1,YDR087C
3142,SLU7,YDR088C
330,NA,YDR089W
1099,RLI1,YDR091C
3354,UBC13,YDR092W
4039,DNF2,YDR093W
3566,MSH6,YDR097C
1650,GRX3,YDR098C
111,BMH2,YDR099W
467,TVP15,YDR100W
768,ARX1,YDR101C
794,STE5,YDR103W
3855,SPO71,YDR104C
297,TMS1,YDR105C
1916,ARP10,YDR106W
990,TRS85,YDR108W
738,NA,YDR109C
4415,FOB1,YDR110W
4701,ALT2,YDR111C
4591,PDS1,YDR113C
807,NA,YDR115W
3279,APC4,YDR118W
4600,VBA4,YDR119W
4487,TRM1,YDR120C
3873,DPB4,YDR121W
3306,KIN1,YDR122W
216,ARO1,YDR127W
1855,MTC5,YDR128W
933,RGP1,YDR137W
3046,HPR1,YDR138W
3813,PEX7,YDR142C
562,SAN1,YDR143C
1013,MKC7,YDR144C
4033,SWI5,YDR146C
998,KGD2,YDR148C
4118,NUM1,YDR150W
1326,CTH1,YDR151C
3251,GIR2,YDR152W
4145,ENT5,YDR153C
2863,HOM2,YDR158W
26,SAC3,YDR159W
3985,ACL4,YDR161W
4047,CWC15,YDR163W
1639,SEC1,YDR164C
1588,TRM82,YDR165W
118,SEC5,YDR166C
3269,STB3,YDR169C
4105,NA,YDR169C-A
1033,SEC7,YDR170C
988,SDH4,YDR178W
447,CSN9,YDR179C
600,NVJ3,YDR179W-A
3727,SAS4,YDR181C
1779,CDC1,YDR182W
4386,NA,YDR182W-A
3736,PLP1,YDR183W
679,ATC1,YDR184C
946,UPS3,YDR185C
1478,NA,YDR186C
1852,SLY1,YDR189W
2945,RVB1,YDR190C
769,HST4,YDR191W
341,NUP42,YDR192C
4126,MSS116,YDR194C
1038,NA,YDR194W-A
1825,REF2,YDR195W
573,CAB5,YDR196C
1746,CBS2,YDR197W
482,RKM2,YDR198C
1847,VPS64,YDR200C
1745,SPC19,YDR201W
704,RAV2,YDR202C
3583,COQ4,YDR204W
3588,MSC2,YDR205W
1788,MSS4,YDR208W
3429,GCD6,YDR211W
591,UPC2,YDR213W
1681,AHA1,YDR214W
3662,ADR1,YDR216W
1813,RAD9,YDR217C
3702,SPR28,YDR218C
457,MFB1,YDR219C
4413,GTB1,YDR221W
4175,NA,YDR222W
4036,CRF1,YDR223W
4464,IVY1,YDR229W
337,COX20,YDR231C
2790,RTN1,YDR233C
3978,LYS4,YDR234W
1171,PRP42,YDR235W
1174,FMN1,YDR236C
1128,SEC26,YDR238C
2984,NA,YDR239C
4588,SNU56,YDR240C
4305,AMD2,YDR242W
4014,PEX5,YDR244W
3740,MNN10,YDR245W
4031,TRS23,YDR246W
3445,NA,YDR246W-A
433,VHS1,YDR247W
1851,NA,YDR248C
4157,NA,YDR249C
3926,MET32,YDR253C
3299,CHL4,YDR254W
659,CTA1,YDR256C
3443,RKM4,YDR257C
259,HSP78,YDR258C
1262,YAP6,YDR259C
3315,SWM1,YDR260C
3918,EXG2,YDR261C
4747,NA,YDR262W
1759,DIN7,YDR263C
